TransactionID,CustomerID,Products,Timestamp
1,C546,"Dish Sponge, Flatbread with Meat, Chips, Orange, Butter, Sausage, Cucumber, Rice, Ice Cream",2025-02-18
2,C385,"Onion, Juice, Flatbread with Meat, Chicken",2025-04-26
3,C292,"Egg, Flatbread with Meat, Banana, Pizza",2025-04-25
4,C863,"Ice Cream, Soda, Orange, Potato, Cereal, Chocolate, Cracker",2025-01-14
5,C171,"Ice Cream, Soap, Shampoo, Chicken, Banana, Beans, Cheese",2025-04-20
6,C605,"Juice, Shampoo, Bread, Flatbread with Meat, Cracker, Cucumber, Fish",2025-02-21
7,C215,"Soda, Chocolate, Beans, Juice, Orange, Bread, Tomato, Yogurt, Minced Meat",2025-01-01
8,C831,"Cookie, Cereal, Sausage, Chips, Chocolate, Lentil, Water, Egg, Cheese",2025-01-17
9,C919,"Soda, Rice, Soap, Chickpeas",2025-01-24
10,C512,"Orange, Minced Meat, Chickpeas",2025-04-30
11,C767,"Milk, Minced Meat, Chips, Chicken, Onion, Cheese, Chickpeas, Cereal",2025-03-22
12,C453,"Dish Sponge, Onion, Detergent, Egg, Chicken",2025-03-02
13,C572,"Sausage, Strawberry, Cracker, Pizza",2025-02-09
14,C964,"Cereal, Minced Meat, Banana, Dish Sponge, Orange",2025-01-28
15,C237,"Yogurt, Dish Sponge, Butter, Cookie",2025-01-12
16,C220,"Potato, Chicken, Cucumber, Soda, Butter, Juice",2025-02-28
17,C977,"Minced Meat, Cereal, Flatbread with Meat, Onion, Honey, Lentil, Cucumber, Orange, Cola, Ice Cream",2025-03-27
18,C55,"Flatbread with Meat, Juice, Cola",2025-04-04
19,C357,"Cracker, Sausage, Dumpling, Cookie, Detergent, Chickpeas, Pizza, Banana, Cereal",2025-01-09
20,C737,"Cracker, Chicken, Tomato, Cola, Shampoo, Cookie, Minced Meat, Yogurt",2025-03-18
21,C334,"Lentil, Chicken, Yogurt, Onion",2025-04-09
22,C943,"Minced Meat, Ice Cream, Soap, Cookie",2025-03-10
23,C478,"Tomato, Apple, Ice Cream, Honey, Fish, Soda, Yogurt",2025-03-14
24,C239,"Dish Sponge, Minced Meat, Cola, Juice, Flatbread with Meat",2025-01-01
25,C404,"Strawberry, Egg, Juice, Pizza, Beans, Chickpeas, Cheese, Cola, Minced Meat, Cracker",2025-03-22
26,C36,"Chocolate, Flatbread with Meat, Detergent, Shampoo, Cucumber, Cola, Sausage, Cheese, Potato",2025-03-29
27,C113,"Pizza, Bread, Potato, Beans, Butter, Cracker, Chips, Rice, Minced Meat",2025-03-07
28,C252,"Lentil, Cola, Shampoo, Juice, Strawberry, Bread, Onion, Cucumber",2025-02-02
29,C175,"Fish, Potato, Cereal, Cookie",2025-01-23
30,C97,"Banana, Cheese, Chocolate, Butter, Milk, Minced Meat, Honey, Soda, Cereal",2025-03-29
31,C393,"Egg, Chocolate, Cucumber, Detergent",2025-04-15
32,C588,"Egg, Honey, Dish Sponge, Cracker, Chickpeas, Minced Meat, Rice, Potato",2025-01-20
33,C821,"Chips, Flatbread with Meat, Ice Cream, Egg, Chicken",2025-01-12
34,C317,"Fish, Chickpeas, Potato, Sausage, Flatbread with Meat, Banana, Shampoo, Beans, Cookie, Cheese",2025-01-25
35,C479,"Chickpeas, Rice, Dumpling, Beans, Yogurt, Cookie",2025-01-03
36,C296,"Tomato, Water, Pizza, Honey, Shampoo, Lentil, Detergent, Chips, Cracker, Butter",2025-03-21
